arm	seg	side	turn_id	addr	tier	reason	rank
D	E60	old	12846	S15069/T1336	1	release	1
D	E60	old	12760	S15069/T1266	1	release	2
D	E60	old	12942	S15069/T1406	1	release	3
D	E60	old	12412	S15069/T1001	1	release	4
D	E60	old	12406	S15069/T998	1	release	5
D	E60	old	12759	S15069/T1265	1	release	6
D	E60	old	13119	S15069/T1470	1	release	7
D	E60	old	12481	S15069/T1056	1	release	8
D	E60	old	13200	S15069/T1515	1	release	9
D	E60	old	13118	S15069/T1469	1	release	10
D	E60	old	12897	S21460/T151	1	release	11
D	E60	old	8253	S15069/T44	2	declares-index	12
D	E60	old	10814	S15069/T414	2	declares-index	13
D	E60	old	12538	S15069/T1111	2	declares-index	14
D	E60	old	12554	S15069/T1124	2	declares-index	15
D	E60	old	12313	S15069/T939	2	declares-index	16
D	E60	old	10049	S15069/T171	2	declares-index	17
D	E60	old	8499	S15069/T96	2	declares-index	18
D	E60	old	12568	S15069/T1135	2	declares-index	19
D	E60	old	8232	S15069/T30	2	declares-index	20
D	E60	old	12483	S15069/T1058	2	declares-index	21
D	E60	old	12501	S15069/T1076	2	declares-index	22
D	E60	old	12451	S15069/T1035	2	declares-index	23
D	E60	old	8294	S15069/T66	2	declares-index	24
D	E60	old	8214	S15069/T17	2	declares-index	25
D	E60	old	13385	S21460/T202	2	declares-index	26
D	E60	old	12378	S15069/T981	2	declares-index	27
D	E60	old	12321	S15069/T946	2	declares-index	28
D	E60	old	12300	S15069/T929	2	declares-index	29
D	E60	old	12289	S15069/T922	2	declares-index	30
D	E60	old	10866	S15069/T444	2	declares-index	31
D	E60	old	10117	S15069/T196	2	declares-index	32
D	E60	old	8467	S15069/T84	2	declares-index	33
D	E60	old	13279	S15069/T1564	2	declares-index	34
D	E60	old	12475	S15069/T1051	2	declares-index	35
D	E60	old	12436	S15069/T1024	2	declares-index	36
D	E60	recent	13660	S15069/T1842	2	declares-index	1
D	E60	recent	13532	S15069/T1739	2	declares-index	2
D	E60	recent	13708	S15069/T1888	2	declares-index	3
D	E60	recent	13721	S15069/T1901	2	declares-index	4
D	E60	recent	13682	S15069/T1864	2	declares-index	5
D	E60	recent	13674	S15069/T1856	2	declares-index	6
D	E60	recent	13605	S15069/T1800	2	declares-index	7
D	E60	recent	13580	S15069/T1779	2	declares-index	8
D	E60	recent	13582	S15069/T1781	2	declares-index	9
D	E60	recent	13719	S15069/T1899	3	indexed-by-elected	10
D	E60	recent	13718	S15069/T1898	3	indexed-by-elected	11
D	E60	recent	13713	S15069/T1893	3	indexed-by-elected	12
D	E60	recent	13705	S15069/T1885	3	indexed-by-elected	13
D	E60	recent	13645	S15069/T1827	3	indexed-by-elected	14
D	E60	recent	13600	S15069/T1795	3	indexed-by-elected	15
D	E60	recent	13720	S15069/T1900	3	indexed-by-elected	16
D	E60	recent	13703	S15069/T1883	3	indexed-by-elected	17
D	E60	recent	13702	S15069/T1882	3	indexed-by-elected	18
