turn_id	addr	seg	side	date	type	label	source	reason	title
8214	S15069/T17	E60	old	2026-07-20	research	USEFUL	r2-D-judge3	澄清response/transcript区别	Clarified response vs transcript: self-refuted hypotheses live in transcript
8224	S15069/T24	E60	old	2026-07-20	design	MUST	r1-train		Detailed rules/rule_events schema: tombstones and append-only event log
8232	S15069/T30	E60	old	2026-07-20	design	MUST	r1-train		Added propose_rule/submit_judgment tools, mechanizing tombstone dedup
8253	S15069/T44	E60	old	2026-07-20	review,delegate	USEFUL	r2-D-judge4	票06验证完成+watchdog时序模式发现	Ticket 06 verified complete; discovered watchdog-timing pattern
8294	S15069/T66	E60	old	2026-07-21	ops	MUST	r2-D-judge4	0.7.1发布，测试隔离事故完全闭环	Test-isolation fix released as 0.7.1; incident fully closed
8420	S15069/T69	E60	old	2026-07-22	measure,correction	USEFUL	r1-train		Hundred-turn audit rejects systemic score-drift conclusion
8467	S15069/T84	E60	old	2026-07-22	design,ops	MUST	r2-D-judge4	0.8.0发布：任务因果分级上线，cutoff锁定	Shipped 0.8.0: task-causality grading live, cutoff locked, pushed
8499	S15069/T96	E60	old	2026-07-22	ops	USEFUL	r1-val		Shipped 0.8.1: async-tool-liveness release, pushed to main
8593	S15440/T23	E70	old	2026-07-23	design	MUST	r1-train		Specified director decision-pack and actor action roles
9029	S15440/T55	E70	old	2026-07-26	implement,fix	MUST	r2-D-judge3	用户裁定卡schema迭代收口	v6 closes card-design iteration: all 4 defects fixed and verified
9059	S15440/T61	E70	old	2026-07-26	measure,correction	MUST	r2-D-judge2	v7定版,纠正误诊,转入MVP	v7 validated end-to-end: interval + knowledge gating both work
9111	S15440/T70	E70	old	2026-07-27	design	MUST	r2-D-judge3	锁定MVP范围，弃分段/跨场景记忆	Locked MVP harness spec; deferred segmentation/cross-scene memory
9150	S15440/T95	E70	old	2026-07-27	design,measure	MUST	r1-train		Refined user-sim to transition kernel; empirically grounded observables
9186	S15440/T111	E70	old	2026-07-28	design	USEFUL	r1-train		Refined ChoiceScript probe: engine-generated choices, recognition≠construction
9210	S15440/T121	E70	old	2026-07-28	design	MUST	r2-D-judge2	五层管线设计完成,标记合谋风险	Consolidated full 5-layer pipeline; design phase complete, flagged collusion risk
9290	S15069/T136	E60	old	2026-07-29	review,fix	USEFUL	r1-train		Verified orphan-skip fix, restored regression codex had dropped, full suite green
9364	S15440/T166	E70	old	2026-07-29	research,fix	USEFUL	r1-train		Verified schema consistency across card sources; found v8 silently dropped profile field
