seg	side	turn_id	addr	date	elected	tier	reason	rank	in_pos	out_all	type	tags	title_len	content_len	insight_len	has_insight	declares_index	unsettled_index	extends_depth	title	in_override	out_override	in_narrows	out_narrows	in_extends	out_extends	in_indexes	out_indexes	in_consume	out_consume	in_grounds	out_grounds	in_verifies	out_verifies	stratum	label	label_reason
E60	old	12481	S15069/T1056	2026-08-20	1	1	release	4	2	5	design	claude-mnemo,read-write-contract,write-gate,note-tool	107	530	0	0	1	1	3	User ruled write needs an untruncated read and settlement shares the agent's tools; D6 proposed for removal	0	0	0	0	1	2	1	3	0	0	0	0	0	0	elected	MUST	用户裁定写必须先完整读
E60	old	12897	S21460/T151	2026-08-23	1	1	release	11	0	2	delegate,review	claude-mnemo,memory-console,worker-server,lane-checker,browser-security	55	580	199	1	1	1	0	Return the memory-console spec for another design round	0	0	0	0	0	0	0	2	0	0	0	0	0	0	elected	USEFUL	控制台规格退回再设计
E60	old	12406	S15069/T998	2026-08-19	1	1	release	2	2	18	ops	release,read-write-contract,claude-mnemo	78	796	0	0	1	1	0	0.12.0 ships: seven version sites, refreshed guard probes, a fully green suite	0	0	0	0	0	0	0	17	2	1	0	0	0	0	elected	USEFUL	0.12.0 发版与第七处版本点
E60	old	12412	S15069/T1001	2026-08-19	1	1	release	7	2	3	fix,ops	claude-mnemo,read-write-contract,release	83	604	0	0	1	1	0	Peer round-two fixes landed and 0.12.1 shipped before any reload ran unguarded code	0	0	0	0	0	0	0	1	1	2	0	0	1	0	elected	USEFUL	修复与发版执行
E60	old	12378	S15069/T981	2026-08-19	1	2	declares-index	34	1	3	design	topic-registry-retirement,tags-vocabulary,observation-pipeline,workflow,claude-mnemo	67	740	0	0	1	0	2	Topic retires into tags; the glossary syncs and ticket 15 publishes	0	0	0	0	0	1	0	2	0	0	1	0	0	0	elected	MUST	topic 退役折入 tags 的机制裁定
E60	old	10814	S15069/T414	2026-08-09	1	2	declares-index	21	2	2	research,correction	prompt-cache-break,claude-mnemo,prompt-cache-incident	76	1213	195	1	1	0	0	Cache-break root cause narrowed to inc-5316 defer_loading flip, not eviction	0	1	0	0	0	0	0	1	0	0	0	0	2	0	elected	USEFUL	缓存断裂根因，纠正两处归因
E60	old	13108	S15069/T1465	2026-08-23	1	2	declares-index	24	1	5	review,ops,delegate	claude-mnemo,tag-mandate,note-settlement,peer-review	109	1071	0	0	1	0	23	tm-06 accepted after a paraphrase slips the sampled pins; the batch closes and the single peer round goes out	1	0	0	0	0	1	1	4	0	0	0	0	0	0	elected	USEFUL	拉取架构落地与批次收口
E60	old	12538	S15069/T1111	2026-08-20	1	2	declares-index	19	2	2	design,ops	claude-mnemo,citation-edges,release-verification	115	709	0	0	1	0	1	User ruled releases chain into their own workflow, and decision-traceability defines the revision's acceptance test	0	0	1	0	0	1	0	1	0	0	1	0	0	0	elected	MUST	用户裁定发布链与可追溯验收标准
E60	recent	13680	S15069/T1862	2026-08-27	1	3	indexed-by-elected	21	2	1	implement,ops	claude-mnemo,memory-console	94	504	0	0	0	0	4	Build a read-only demo server so unreleased console changes can be eyeballed against real data	0	0	0	0	1	1	1	0	0	0	0	0	0	0	elected	USEFUL	只读演示服务器及被否方案
E60	recent	13713	S15069/T1893	2026-08-27	1	3	indexed-by-elected	16	2	1	review,delegate	claude-mnemo,milestone-design	81	593	0	0	0	0	9	Ticket 02 accepted: the page budget genuinely seats milestones for the first time	0	0	1	0	0	1	1	0	0	0	0	0	0	0	elected	USEFUL	预算首次真正给里程碑留位
E60	recent	13718	S15069/T1898	2026-08-27	1	3	indexed-by-elected	15	2	1	review,measure,delegate	claude-mnemo,milestone-design	119	1068	268	1	0	0	2	Ticket 03 verified and closed, ticket 04 dispatched; the split card's duplicated chrome measured and filed as ticket 05	0	0	1	0	0	1	1	0	0	0	0	0	0	0	elected	USEFUL	拆分使固定开销被重复计
E60	recent	13671	S15069/T1853	2026-08-27	1	3	indexed-by-elected	26	2	1	research,discuss	claude-mnemo,citation-edges	89	744	0	0	0	0	3	Severed lanes are reported but nothing teaches the settlement agent to act on the warning	0	0	0	0	1	0	1	0	0	0	0	1	0	0	elected	USEFUL	指出警告无人执行的缺口
E60	old	8232	S15069/T30	2026-07-20	1	2	declares-index	22	1	9	design	self-evolution,rule-ledger,claude-mnemo	69	728	0	0	1	0	0	Added propose_rule/submit_judgment tools, mechanizing tombstone dedup	0	0	0	1	0	0	0	8	0	0	1	0	0	0	elected	MUST	两个结构化写工具成唯一写路径
E60	old	13057	S15069/T1446	2026-08-23	1	2	declares-index	31	1	3	review,ops	claude-mnemo,tag-mandate,peer-review,lane-model	106	981	0	0	1	0	23	Peer round two accepts the landed annotation wholesale; the ordered additions applied and re-audited green	0	0	0	0	1	1	0	2	0	0	0	0	0	0	elected	USEFUL	同行复核零撤回并追加标注
E60	old	12480	S15069/T1055	2026-08-20	0	3	indexed-by-elected	97	2	2	research,correction	claude-mnemo,read-write-contract,write-gate,peer-review	98	531	0	0	0	0	2	Every peer finding held at source, and my edit-skips-the-grant rule was a misreading of the ruling	0	0	0	2	1	0	1	0	0	0	0	0	0	0	rejected-timematched	USEFUL	edit 仍需读授权的纠错
E60	old	12896	S15069/T1376	2026-08-23	0	5	other	1036	0	0	discuss	claude-mnemo,process-discipline,worker-dispatch	110	774	0	0	0	0	0	Why workers run on Sonnet: judgment is front-loaded, the price gap is widest there, acceptance bounds the risk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	rejected-timematched	USEFUL	工人用 Sonnet 的三段理由
E60	old	12405	S15069/T997	2026-08-19	0	5	other	1102	0	0	research	note-budget,settlement,claude-mnemo	78	810	0	0	0	0	0	Budget teeth exist at HEAD: two-times-per-field reject-and-teach, not yet live	0	0	0	0	0	0	0	0	0	0	0	0	0	0	rejected-timematched	USEFUL	HEAD 有预算牙齿而线上无
