arm	seg	side	turn_id	addr	tier	reason	rank
A	E60	old	12846	S15069/T1336	1	release	1
A	E60	old	12406	S15069/T998	1	release	2
A	E60	old	12760	S15069/T1266	1	release	3
A	E60	old	12481	S15069/T1056	1	release	4
A	E60	old	12942	S15069/T1406	1	release	5
A	E60	old	12759	S15069/T1265	1	release	6
A	E60	old	12412	S15069/T1001	1	release	7
A	E60	old	13119	S15069/T1470	1	release	8
A	E60	old	13118	S15069/T1469	1	release	9
A	E60	old	13200	S15069/T1515	1	release	10
A	E60	old	12897	S21460/T151	1	release	11
A	E60	old	8253	S15069/T44	2	declares-index	12
A	E60	old	12554	S15069/T1124	2	declares-index	13
A	E60	old	12483	S15069/T1058	2	declares-index	14
A	E60	old	12313	S15069/T939	2	declares-index	15
A	E60	old	10049	S15069/T171	2	declares-index	16
A	E60	old	12321	S15069/T946	2	declares-index	17
A	E60	old	12568	S15069/T1135	2	declares-index	18
A	E60	old	12538	S15069/T1111	2	declares-index	19
A	E60	old	12445	S15069/T1029	2	declares-index	20
A	E60	old	10814	S15069/T414	2	declares-index	21
A	E60	old	8232	S15069/T30	2	declares-index	22
A	E60	old	13196	S15069/T1513	2	declares-index	23
A	E60	old	13108	S15069/T1465	2	declares-index	24
A	E60	old	12501	S15069/T1076	2	declares-index	25
A	E60	old	12451	S15069/T1035	2	declares-index	26
A	E60	old	8294	S15069/T66	2	declares-index	27
A	E60	old	8214	S15069/T17	2	declares-index	28
A	E60	old	13385	S21460/T202	2	declares-index	29
A	E60	old	13198	S15069/T1514	2	declares-index	30
A	E60	old	13057	S15069/T1446	2	declares-index	31
A	E60	old	13010	S15069/T1432	2	declares-index	32
A	E60	old	12384	S15069/T984	2	declares-index	33
A	E60	old	12378	S15069/T981	2	declares-index	34
A	E60	old	12300	S15069/T929	2	declares-index	35
A	E60	recent	13660	S15069/T1842	2	declares-index	1
A	E60	recent	13532	S15069/T1739	2	declares-index	2
A	E60	recent	13674	S15069/T1856	2	declares-index	3
A	E60	recent	13708	S15069/T1888	2	declares-index	4
A	E60	recent	13721	S15069/T1901	2	declares-index	5
A	E60	recent	13682	S15069/T1864	2	declares-index	6
A	E60	recent	13605	S15069/T1800	2	declares-index	7
A	E60	recent	13580	S15069/T1779	2	declares-index	8
A	E60	recent	13582	S15069/T1781	2	declares-index	9
A	E60	recent	13705	S15069/T1885	3	indexed-by-elected	10
A	E60	recent	13645	S15069/T1827	3	indexed-by-elected	11
A	E60	recent	13600	S15069/T1795	3	indexed-by-elected	12
A	E60	recent	13720	S15069/T1900	3	indexed-by-elected	13
A	E60	recent	13719	S15069/T1899	3	indexed-by-elected	14
A	E60	recent	13718	S15069/T1898	3	indexed-by-elected	15
A	E60	recent	13713	S15069/T1893	3	indexed-by-elected	16
A	E60	recent	13703	S15069/T1883	3	indexed-by-elected	17
A	E60	recent	13702	S15069/T1882	3	indexed-by-elected	18
A	E60	recent	13698	S15069/T1878	3	indexed-by-elected	19
A	E60	recent	13697	S15069/T1877	3	indexed-by-elected	20
A	E60	recent	13680	S15069/T1862	3	indexed-by-elected	21
A	E60	recent	13679	S15069/T1861	3	indexed-by-elected	22
A	E60	recent	13678	S15069/T1860	3	indexed-by-elected	23
A	E60	recent	13673	S15069/T1855	3	indexed-by-elected	24
A	E60	recent	13672	S15069/T1854	3	indexed-by-elected	25
A	E60	recent	13671	S15069/T1853	3	indexed-by-elected	26
A	E60	recent	13657	S15069/T1839	3	indexed-by-elected	27
A	E60	recent	13575	S15069/T1774	3	indexed-by-elected	28
A	E60	recent	13696	S15069/T1876	3	indexed-by-elected	29
A	E60	recent	13658	S15069/T1840	3	indexed-by-elected	30
A	E60	recent	13649	S15069/T1831	3	indexed-by-elected	31
A	E70	old	10621	S15440/T532	2	declares-index	1
A	E70	old	10108	S15440/T395	2	declares-index	2
A	E70	old	10527	S15440/T496	2	declares-index	3
A	E70	old	11064	S15440/T696	2	declares-index	4
A	E70	old	10713	S15440/T595	2	declares-index	5
A	E70	old	9696	S15440/T307	2	declares-index	6
A	E70	old	9388	S15440/T177	2	declares-index	7
A	E70	old	10964	S15440/T669	2	declares-index	8
A	E70	old	10699	S15440/T586	2	declares-index	9
A	E70	old	9614	S15440/T284	2	declares-index	10
A	E70	old	9210	S15440/T121	2	declares-index	11
A	E70	old	9452	S15440/T219	2	declares-index	12
A	E70	old	9444	S15440/T215	2	declares-index	13
A	E70	old	9059	S15440/T61	2	declares-index	14
A	E70	old	10633	S15440/T542	2	declares-index	15
A	E70	old	9959	S15440/T342	2	declares-index	16
A	E70	old	10072	S15440/T377	2	declares-index	17
A	E70	old	9555	S15440/T263	2	declares-index	18
A	E70	old	9460	S15440/T225	2	declares-index	19
A	E70	old	9111	S15440/T70	2	declares-index	20
A	E70	old	11110	S15440/T719	2	declares-index	21
A	E70	old	10714	S15440/T596	2	declares-index	22
A	E70	old	9947	S15440/T332	2	declares-index	23
A	E70	old	9915	S15440/T315	2	declares-index	24
A	E70	old	9485	S15440/T231	2	declares-index	25
A	E70	old	9029	S15440/T55	2	declares-index	26
A	E70	old	9677	S15440/T298	2	declares-index	27
A	E70	old	9588	S15440/T276	2	declares-index	28
A	E70	old	9523	S15440/T242	2	declares-index	29
A	E70	old	11018	S15440/T677	2	declares-index	30
A	E70	old	11212	S15440/T743	2	declares-index	31
