R001	NO	派发执行播报，无裁定
R002	USEFUL	两条局部规则修正，可检索
R003	MUST	协议禁令防数据投毒，约束全局
R004	USEFUL	原子性修复+验证方法教训
R005	USEFUL	178组端点复核结果，关闭疑问
R006	USEFUL	单次实验记录+两处缺陷
R007	USEFUL	收尾+文档更新，可查CONTEXT
R008	MUST	测量非性能裁定，定投影范围
R009	USEFUL	验证收尾，关闭票据09
R010	USEFUL	具体修复+断言写法教训
R011	MUST	SceneState架构定性，防误设计
R012	USEFUL	通道冲突分析，方案待定
R013	USEFUL	发现跳过规则的口径缺口
R014	NO	票据切分播报，可从票据复原
R015	MUST	次轴合法性裁定，解锁设计
R016	USEFUL	验收+两处并入判断记录
R017	USEFUL	纠正里程碑改善的错误归因
R018	MUST	视图接口+事件日志裁定落地
R019	USEFUL	编译期若干设计小决定
R020	NO	版本发布播报
R021	MUST	校验器统一为共享裁定
R022	USEFUL	单次测量+缓存行为发现
R023	USEFUL	命名裁定，可grep但少理由
R024	NO	单点配置事实
R025	MUST	批准废除judge_done机制
R026	MUST	定义constraints/decisions字段
R027	USEFUL	选举退化为recency的诊断
R028	USEFUL	验证防泄漏规则仍生效
R029	USEFUL	票据收尾+反引号教训
R030	MUST	泳道状态整体废除，重定义index
R031	USEFUL	四处不一致暴露，待裁定
R032	USEFUL	措辞裁定+改名教训
R033	NO	一次性自主权授予，已过期
R034	USEFUL	ADR文档已落盘，可查docs
R035	USEFUL	前提时效性教训+修复
R036	USEFUL	按模型努力度裁定+实测
R037	USEFUL	规范采纳决定，已入spec
R038	USEFUL	发布播报+指标跳变提示
R039	MUST	泳道模型五处缺口未闭合
R040	USEFUL	发布播报，可查changelog
R041	NO	票据收尾细节，范围窄
R042	MUST	纠正规则偏差，恢复真实语义
R043	NO	场景启动播报
R044	USEFUL	收尾+新开放问题(孤岛)
R045	USEFUL	估算发现+视图方向提议
R046	MUST	一轮闭合多项设计裁定
R047	USEFUL	发布播报，功能清单密集
R048	USEFUL	安全扫描零溢出，关闭疑问
R049	USEFUL	阶段结论：转向对比实验
R050	USEFUL	HEXACO对照分析与取舍
R051	NO	流程分工播报，内容空洞
R052	USEFUL	方案评估，尚待裁定
R053	MUST	用户提议统一节点语法
R054	USEFUL	结算未回收陈旧边的发现
