arm	seg	side	turn_id	addr	date	tier	reason	rank	in_deg	out_deg	seated	type	title
C	E60	old	12846	S15069/T1336	2026-08-22	1	release	1	3	7	1	review,fix,ops	0.16.0 released and pushed: the lane model ships after round-5 repairs pass acceptance
C	E60	old	12406	S15069/T998	2026-08-19	1	release	2	2	18	1	ops	0.12.0 ships: seven version sites, refreshed guard probes, a fully green suite
C	E60	old	12760	S15069/T1266	2026-08-22	1	release	3	2	9	1	ops	0.15.0 released and pushed: the indexes vocabulary and the law-8 node set ship
C	E60	old	12481	S15069/T1056	2026-08-20	1	release	4	2	5	1	design	User ruled write needs an untruncated read and settlement shares the agent's tools; D6 proposed for removal
C	E60	old	12942	S15069/T1406	2026-08-23	1	release	5	2	4	1	ops	0.17.0 released: election, console and conformance ship after the guard's sentinel list rotates
C	E60	old	12759	S15069/T1265	2026-08-22	1	release	6	2	4	1	design,implement	User unified the flow concept and made indexes declare a flow's convergence; rubric v9 finalized
C	E60	old	12412	S15069/T1001	2026-08-19	1	release	7	2	3	1	fix,ops	Peer round-two fixes landed and 0.12.1 shipped before any reload ran unguarded code
C	E60	old	13119	S15069/T1470	2026-08-24	1	release	8	1	3	1	ops	0.18.0 released: the tag mandate ships clean after rebuild, no stale-bundle red
C	E60	old	13118	S15069/T1469	2026-08-24	1	release	9	1	3	1	review,measure,ops	RC accepted and the repair campaign closes: all 8 P1 + 9 P2 landed mutation-verified, suite 3092/1 with the only red the release guard
C	E60	old	13200	S15069/T1515	2026-08-24	1	release	10	0	10	1	ops	0.19.0 releases and pushes as a27533f
C	E60	old	12897	S21460/T151	2026-08-23	1	release	11	0	2	1	delegate,review	Return the memory-console spec for another design round
C	E60	old	8253	S15069/T44	2026-07-20	2	declares-index	12	5	7	1	review,delegate	Ticket 06 verified complete; discovered watchdog-timing pattern
C	E60	old	12554	S15069/T1124	2026-08-20	2	declares-index	13	2	9	1	design	Grilling closed in one round: no read check on the cited side, hard-delete retraction, settlement fully opened, updates never auto-settle
C	E60	old	12483	S15069/T1058	2026-08-20	2	declares-index	14	2	7	1	design,ops	D6 dropped by user; spec Rev 2, CONTEXT.md and eight tickets landed
C	E60	old	12313	S15069/T939	2026-08-18	2	declares-index	15	2	4	1	design	peer convergence landed: proactive edge checklist plus one shared validator for both write paths
C	E60	old	10049	S15069/T171	2026-08-03	2	declares-index	16	2	4	1	design,ops	Closed final review round, published all 7 ready-for-agent tickets, archived to memory
C	E60	old	12321	S15069/T946	2026-08-18	2	declares-index	17	2	3	1	implement,review,ops	Ticket 08 verified with a validator-bypass mutation and the batch closes with docs at 504adc9
C	E60	old	12568	S15069/T1135	2026-08-20	2	declares-index	18	2	2	1	correction,research	User re-pinned the golden sample: metadata is a DEFAULT line — its opt-in demotion was regression, not design
C	E60	old	12538	S15069/T1111	2026-08-20	2	declares-index	19	2	2	1	design,ops	User ruled releases chain into their own workflow, and decision-traceability defines the revision's acceptance test
C	E60	old	12445	S15069/T1029	2026-08-19	2	declares-index	20	2	2	1	research,design,implement,ops	pi-hermes full texts yield two adoptions, and the golden samples enter the spec verbatim
C	E60	old	10814	S15069/T414	2026-08-09	2	declares-index	21	2	2	1	research,correction	Cache-break root cause narrowed to inc-5316 defer_loading flip, not eviction
C	E60	old	8232	S15069/T30	2026-07-20	2	declares-index	22	1	9	1	design	Added propose_rule/submit_judgment tools, mechanizing tombstone dedup
C	E60	old	13196	S15069/T1513	2026-08-24	2	declares-index	23	1	8	1	review,ops	Ticket 04, the writer context epoch, passes acceptance and commits as 36890c6
C	E60	old	13108	S15069/T1465	2026-08-23	2	declares-index	24	1	5	1	review,ops,delegate	tm-06 accepted after a paraphrase slips the sampled pins; the batch closes and the single peer round goes out
C	E60	old	12501	S15069/T1076	2026-08-20	2	declares-index	25	1	4	1	design,research	Field definitions settled: constraints holds norms, decisions holds task rulings, neither content is renamed
C	E60	old	12451	S15069/T1035	2026-08-19	2	declares-index	26	1	4	1	design,ops	Grading retires whole, the turns table dissolves into the unified row form, and search differs by order alone
C	E60	old	8294	S15069/T66	2026-07-21	2	declares-index	27	1	4	1	ops	Test-isolation fix released as 0.7.1; incident fully closed
C	E60	old	8214	S15069/T17	2026-07-20	2	declares-index	28	1	4	1	research	Clarified response vs transcript: self-refuted hypotheses live in transcript
C	E60	old	13385	S21460/T202	2026-08-25	2	declares-index	29	1	3	1	review,measure,design	The finalized lane model still lacks closure over real graph shapes
C	E60	old	13198	S15069/T1514	2026-08-24	2	declares-index	30	1	3	1	review,ops	Repair 03 passes and closes the light-review batch at 7b3b052
C	E60	old	13057	S15069/T1446	2026-08-23	2	declares-index	31	1	3	1	review,ops	Peer round two accepts the landed annotation wholesale; the ordered additions applied and re-audited green
C	E60	old	13010	S15069/T1432	2026-08-23	2	declares-index	32	1	3	1	review,ops	Write-gate hardening accepted through four targeted mutations and landed as e1edd6b
C	E60	old	12384	S15069/T984	2026-08-19	2	declares-index	33	1	3	1	fix,implement	Direct-write atomicity fixed as 7eae1c5 with the peer's failure shape as the red test
C	E60	old	12378	S15069/T981	2026-08-19	2	declares-index	34	1	3	1	design	Topic retires into tags; the glossary syncs and ticket 15 publishes
C	E60	old	12300	S15069/T929	2026-08-18	2	declares-index	35	1	3	1	design	design+tickets: two specs cut into ten tickets in three territory groups
C	E60	old	12289	S15069/T922	2026-08-18	2	declares-index	36	1	3	0	discuss	discuss+sequencing: the edge spec enters implementation first, unblocked by the experiment
C	E60	old	10866	S15069/T444	2026-08-09	2	declares-index	37	1	3	0	measure,research	Cache-break fix confirmed live; found skip-criterion spec gap
C	E60	old	10117	S15069/T196	2026-08-04	2	declares-index	38	1	3	0	ops	Released 0.8.4, pushed to origin/main; arc-spine-redesign shipped
C	E60	old	8499	S15069/T96	2026-07-22	2	declares-index	39	1	3	0	ops	Shipped 0.8.1: async-tool-liveness release, pushed to main
C	E60	old	8467	S15069/T84	2026-07-22	2	declares-index	40	1	3	0	design,ops	Shipped 0.8.0: task-causality grading live, cutoff locked, pushed
C	E60	old	13279	S15069/T1564	2026-08-24	2	declares-index	41	1	2	0	review,fix,ops	Ticket 10a accepted, and the timeline route stops swallowing a selector it cannot honor
